Time (s),Depth (m),Pitch (deg)
185.30,-13.6239,1.9981
185.40,-13.6161,2.0762
185.50,-13.6083,2.1720
185.60,-13.6004,2.2841
185.70,-13.5925,2.4111
185.80,-13.5846,2.5515
185.90,-13.5766,2.7032
186.00,-13.5686,2.8637
186.10,-13.5604,3.0306
186.20,-13.5522,3.2013
186.30,-13.5438,3.3734
186.40,-13.5354,3.5442
186.50,-13.5268,3.7115
186.60,-13.5181,3.8730
186.70,-13.5093,4.0263
186.80,-13.5004,4.1691
186.90,-13.4914,4.2991
187.00,-13.4822,4.4142
187.10,-13.4729,4.5129
187.20,-13.4635,4.5942
187.30,-13.4540,4.6571
187.40,-13.4444,4.7005
187.50,-13.4347,4.7235
187.60,-13.4250,4.7251
187.70,-13.4152,4.7059
187.80,-13.4054,4.6666
187.90,-13.3955,4.6079
188.00,-13.3856,4.5305
188.10,-13.3758,4.4353
188.20,-13.3659,4.3233
188.30,-13.3561,4.1962
188.40,-13.3463,4.0562
188.50,-13.3366,3.9054
188.60,-13.3270,3.7459
188.70,-13.3175,3.5798
188.80,-13.3080,3.4091
188.90,-13.2987,3.2365
189.00,-13.2895,3.0643
189.10,-13.2803,2.8952
189.20,-13.2714,2.7317
189.30,-13.2625,2.5763
189.40,-13.2538,2.4315
189.50,-13.2451,2.2992
189.60,-13.2366,2.1810
189.70,-13.2283,2.0785
189.80,-13.2200,1.9935
189.90,-13.2118,1.9275
190.00,-13.2037,1.8822
190.10,-13.1957,1.8578
190.20,-13.1877,1.8542
190.30,-13.1798,1.8713
190.40,-13.1720,1.9089
190.50,-13.1642,1.9670
190.60,-13.1564,2.0452
190.70,-13.1485,2.1423
190.80,-13.1407,2.2563
190.90,-13.1328,2.3854
191.00,-13.1249,2.5277
191.10,-13.1170,2.6813
191.20,-13.1089,2.8443
191.30,-13.1008,3.0143
191.40,-13.0926,3.1887
191.50,-13.0842,3.3649
191.60,-13.0758,3.5403
191.70,-13.0673,3.7121
191.80,-13.0586,3.8778
191.90,-13.0498,4.0352
192.00,-13.0409,4.1822
192.10,-13.0318,4.3169
192.20,-13.0227,4.4371
192.30,-13.0134,4.5410
192.40,-13.0040,4.6265
192.50,-12.9945,4.6926
192.60,-12.9849,4.7387
192.70,-12.9752,4.7644
192.80,-12.9654,4.7695
192.90,-12.9556,4.7534
193.00,-12.9457,4.7159
193.10,-12.9358,4.6573
193.20,-12.9259,4.5791
193.30,-12.9160,4.4826
193.40,-12.9061,4.3692
193.50,-12.8963,4.2404
193.60,-12.8865,4.0974
193.70,-12.8768,3.9423
193.80,-12.8671,3.7775
193.90,-12.8575,3.6056
194.00,-12.8480,3.4290
194.10,-12.8387,3.2503
194.20,-12.8294,3.0720
194.30,-12.8203,2.8967
194.40,-12.8113,2.7266
194.50,-12.8024,2.5644
194.60,-12.7937,2.4123
194.70,-12.7850,2.2729
194.80,-12.7765,2.1484
194.90,-12.7682,2.0410
195.00,-12.7599,1.9516
195.10,-12.7517,1.8814
195.20,-12.7436,1.8313
195.30,-12.7356,1.8024
195.40,-12.7277,1.7957
195.50,-12.7199,1.8117
195.60,-12.7120,1.8495
195.70,-12.7042,1.9082
195.80,-12.6965,1.9869
195.90,-12.6887,2.0846
196.00,-12.6809,2.2004
196.10,-12.6731,2.3328
196.20,-12.6652,2.4797
196.30,-12.6573,2.6386
196.40,-12.6493,2.8070
196.50,-12.6412,2.9825
196.60,-12.6330,3.1627
196.70,-12.6247,3.3451
196.80,-12.6163,3.5270
196.90,-12.6078,3.7059
197.00,-12.5991,3.8791
197.10,-12.5903,4.0441
197.20,-12.5814,4.1981
197.30,-12.5724,4.3388
197.40,-12.5632,4.4644
197.50,-12.5539,4.5736
197.60,-12.5445,4.6648
197.70,-12.5350,4.7366
197.80,-12.5254,4.7874
197.90,-12.5156,4.8162
198.00,-12.5059,4.8227
198.10,-12.4960,4.8076
198.20,-12.4861,4.7711
198.30,-12.4762,4.7136
198.40,-12.4662,4.6355
198.50,-12.4563,4.5374
198.60,-12.4464,4.4209
198.70,-12.4365,4.2881
198.80,-12.4266,4.1411
198.90,-12.4168,3.9818
199.00,-12.4071,3.8124
199.10,-12.3975,3.6350
199.20,-12.3880,3.4521
199.30,-12.3786,3.2665
199.40,-12.3693,3.0809
199.50,-12.3602,2.8981
199.60,-12.3511,2.7208
199.70,-12.3423,2.5518
199.80,-12.3335,2.3934
199.90,-12.3249,2.2475
200.00,-12.3164,2.1163
200.10,-12.3080,2.0018
200.20,-12.2997,1.9061
200.30,-12.2916,1.8311
200.40,-12.2835,1.7778
200.50,-12.2755,1.7463
200.60,-12.2676,1.7370
200.70,-12.2598,1.7501
200.80,-12.2520,1.7857
200.90,-12.2442,1.8441
201.00,-12.2365,1.9243
201.10,-12.2288,2.0246
201.20,-12.2210,2.1433
201.30,-12.2132,2.2786
201.40,-12.2054,2.4288
201.50,-12.1975,2.5919
201.60,-12.1895,2.7659
201.70,-12.1815,2.9478
201.80,-12.1733,3.1349
201.90,-12.1651,3.3244
202.00,-12.1567,3.5134
202.10,-12.1482,3.6993
202.20,-12.1396,3.8793
202.30,-12.1308,4.0511
202.40,-12.1219,4.2124
202.50,-12.1129,4.3607
202.60,-12.1037,4.4937
202.70,-12.0944,4.6090
202.80,-12.0850,4.7050
202.90,-12.0755,4.7807
203.00,-12.0658,4.8355
203.10,-12.0561,4.8685
203.20,-12.0463,4.8790
203.30,-12.0364,4.8663
203.40,-12.0265,4.8302
203.50,-12.0165,4.7718
203.60,-12.0065,4.6924
203.70,-11.9965,4.5931
203.80,-11.9865,4.4752
203.90,-11.9766,4.3398
204.00,-11.9667,4.1886
204.10,-11.9569,4.0240
204.20,-11.9472,3.8486
204.30,-11.9375,3.6651
204.40,-11.9279,3.4760
204.50,-11.9185,3.2839
204.60,-11.9092,3.0915
204.70,-11.9000,2.9015
204.80,-11.8910,2.7166
204.90,-11.8821,2.5396
205.00,-11.8733,2.3731
205.10,-11.8646,2.2200
205.20,-11.8561,2.0827
205.30,-11.8478,1.9627
205.40,-11.8395,1.8616
205.50,-11.8314,1.7807
205.60,-11.8233,1.7216
205.70,-11.8154,1.6856
205.80,-11.8075,1.6739
205.90,-11.7997,1.6860
206.00,-11.7919,1.7214
206.10,-11.7842,1.7793
206.20,-11.7765,1.8590
206.30,-11.7688,1.9600
206.40,-11.7611,2.0812
206.50,-11.7534,2.2205
206.60,-11.7456,2.3756
206.70,-11.7377,2.5440
206.80,-11.7298,2.7231
206.90,-11.7218,2.9106
207.00,-11.7137,3.1040
207.10,-11.7054,3.3005
207.20,-11.6971,3.4971
207.30,-11.6886,3.6910
207.40,-11.6800,3.8792
207.50,-11.6713,4.0588
207.60,-11.6624,4.2271
207.70,-11.6534,4.3819
207.80,-11.6442,4.5212
207.90,-11.6349,4.6433
208.00,-11.6255,4.7462
208.10,-11.6159,4.8281
208.20,-11.6063,4.8872
208.30,-11.5965,4.9230
208.40,-11.5867,4.9355
208.50,-11.5768,4.9248
208.60,-11.5668,4.8910
208.70,-11.5568,4.8341
208.80,-11.5468,4.7542
208.90,-11.5367,4.6527
209.00,-11.5267,4.5314
209.10,-11.5167,4.3924
209.20,-11.5068,4.2376
209.30,-11.4969,4.0689
209.40,-11.4871,3.8884
209.50,-11.4774,3.6986
209.60,-11.4678,3.5025
209.70,-11.4584,3.3028
209.80,-11.4490,3.1027
209.90,-11.4398,2.9050
210.00,-11.4307,2.7126
210.10,-11.4218,2.5283
210.20,-11.4130,2.3546
210.30,-11.4044,2.1937
210.40,-11.3959,2.0483
210.50,-11.3875,1.9207
210.60,-11.3792,1.8134
210.70,-11.3711,1.7279
210.80,-11.3631,1.6650
210.90,-11.3552,1.6253
211.00,-11.3473,1.6094
211.10,-11.3395,1.6178
211.20,-11.3318,1.6513
211.30,-11.3241,1.7096
211.40,-11.3165,1.7911
211.50,-11.3088,1.8942
211.60,-11.3011,2.0175
211.70,-11.2934,2.1592
211.80,-11.2857,2.3179
211.90,-11.2779,2.4913
212.00,-11.2700,2.6768
212.10,-11.2620,2.8713
212.20,-11.2540,3.0718
212.30,-11.2458,3.2756
212.40,-11.2375,3.4795
212.50,-11.2290,3.6807
212.60,-11.2204,3.8766
212.70,-11.2117,4.0643
212.80,-11.2028,4.2411
212.90,-11.1938,4.4043
213.00,-11.1847,4.5511
213.10,-11.1754,4.6792
213.20,-11.1659,4.7873
213.30,-11.1564,4.8743
213.40,-11.1467,4.9389
213.50,-11.1369,4.9801
213.60,-11.1270,4.9965
213.70,-11.1171,4.9877
213.80,-11.1071,4.9541
213.90,-11.0970,4.8968
214.00,-11.0870,4.8167
214.10,-11.0769,4.7148
214.20,-11.0668,4.5921
214.30,-11.0568,4.4497
214.40,-11.0468,4.2900
214.50,-11.0369,4.1157
214.60,-11.0270,3.9293
214.70,-11.0173,3.7335
214.80,-11.0077,3.5310
214.90,-10.9982,3.3243
215.00,-10.9888,3.1165
215.10,-10.9795,2.9106
215.20,-10.9704,2.7095
215.30,-10.9615,2.5165
215.40,-10.9527,2.3344
215.50,-10.9440,2.1663
215.60,-10.9355,2.0142
215.70,-10.9272,1.8800
215.80,-10.9189,1.7656
215.90,-10.9108,1.6730
216.00,-10.9028,1.6040
216.10,-10.8949,1.5602
216.20,-10.8871,1.5420
216.30,-10.8793,1.5490
216.40,-10.8716,1.5809
216.50,-10.8640,1.6374
216.60,-10.8564,1.7182
216.70,-10.8488,1.8227
216.80,-10.8411,1.9492
216.90,-10.8335,2.0953
217.00,-10.8258,2.2587
217.10,-10.8180,2.4369
217.20,-10.8102,2.6275
217.30,-10.8023,2.8281
217.40,-10.7942,3.0358
217.50,-10.7861,3.2474
217.60,-10.7778,3.4598
217.70,-10.7694,3.6698
217.80,-10.7609,3.8742
217.90,-10.7521,4.0698
218.00,-10.7433,4.2541
218.10,-10.7343,4.4247
218.20,-10.7251,4.5793
218.30,-10.7158,4.7156
218.40,-10.7064,4.8313
218.50,-10.6968,4.9242
218.60,-10.6871,4.9930
218.70,-10.6773,5.0374
218.80,-10.6674,5.0571
218.90,-10.6574,5.0518
219.00,-10.6474,5.0211
219.10,-10.6373,4.9648
219.20,-10.6272,4.8836
219.30,-10.6170,4.7792
219.40,-10.6069,4.6535
219.50,-10.5968,4.5083
219.60,-10.5868,4.3453
219.70,-10.5768,4.1665
219.80,-10.5670,3.9741
219.90,-10.5572,3.7713
220.00,-10.5475,3.5610
220.10,-10.5379,3.3465
220.20,-10.5285,3.1307
220.30,-10.5192,2.9168
220.40,-10.5101,2.7078
220.50,-10.5012,2.5065
220.60,-10.4923,2.3159
220.70,-10.4837,2.1386
220.80,-10.4751,1.9777
220.90,-10.4668,1.8359
221.00,-10.4585,1.7155
221.10,-10.4504,1.6177
221.20,-10.4425,1.5436
221.30,-10.4346,1.4943
221.40,-10.4268,1.4708
221.50,-10.4191,1.4743
221.60,-10.4114,1.5052
221.70,-10.4038,1.5623
221.80,-10.3962,1.6443
221.90,-10.3887,1.7498
222.00,-10.3811,1.8775
222.10,-10.3735,2.0262
222.20,-10.3658,2.1939
222.30,-10.3581,2.3780
222.40,-10.3503,2.5754
222.50,-10.3425,2.7831
222.60,-10.3345,2.9980
222.70,-10.3264,3.2172
222.80,-10.3181,3.4376
222.90,-10.3098,3.6560
223.00,-10.3012,3.8693
223.10,-10.2926,4.0743
223.20,-10.2837,4.2679
223.30,-10.2747,4.4468
223.40,-10.2655,4.6081
223.50,-10.2562,4.7497
223.60,-10.2467,4.8698
223.70,-10.2371,4.9664
223.80,-10.2274,5.0376
223.90,-10.2175,5.0820
224.00,-10.2075,5.0993
224.10,-10.1975,5.0900
224.20,-10.1874,5.0542
224.30,-10.1772,4.9923
224.40,-10.1671,4.9048
224.50,-10.1569,4.7934
224.60,-10.1468,4.6603
224.70,-10.1366,4.5074
224.80,-10.1266,4.3370
224.90,-10.1166,4.1511
225.00,-10.1067,3.9528
225.10,-10.0970,3.7453
225.20,-10.0873,3.5315
225.30,-10.0778,3.3148
225.40,-10.0684,3.0983
225.50,-10.0592,2.8849
225.60,-10.0502,2.6780
225.70,-10.0412,2.4805
225.80,-10.0325,2.2955
225.90,-10.0239,2.1261
226.00,-10.0154,1.9743
226.10,-10.0071,1.8420
226.20,-9.9989,1.7312
226.30,-9.9909,1.6437
226.40,-9.9829,1.5815
226.50,-9.9751,1.5452
226.60,-9.9673,1.5347
226.70,-9.9596,1.5500
226.80,-9.9519,1.5909
226.90,-9.9443,1.6575
227.00,-9.9367,1.7487
227.10,-9.9291,1.8627
227.20,-9.9214,1.9974
227.30,-9.9138,2.1507
227.40,-9.9061,2.3205
227.50,-9.8983,2.5046
227.60,-9.8904,2.6999
227.70,-9.8824,2.9033
227.80,-9.8743,3.1116
227.90,-9.8661,3.3217
228.00,-9.8578,3.5305
228.10,-9.8493,3.7350
228.20,-9.8406,3.9323
228.30,-9.8319,4.1196
228.40,-9.8229,4.2939
228.50,-9.8139,4.4525
228.60,-9.8046,4.5930
228.70,-9.7953,4.7140
228.80,-9.7858,4.8140
228.90,-9.7761,4.8913
229.00,-9.7664,4.9446
229.10,-9.7566,4.9727
229.20,-9.7466,4.9760
229.30,-9.7367,4.9550
229.40,-9.7266,4.9102
229.50,-9.7166,4.8420
229.60,-9.7065,4.7512
229.70,-9.6964,4.6393
229.80,-9.6864,4.5082
229.90,-9.6764,4.3601
230.00,-9.6664,4.1969
230.10,-9.6566,4.0205
230.20,-9.6468,3.8332
230.30,-9.6371,3.6378
230.40,-9.6276,3.4374
230.50,-9.6181,3.2350
230.60,-9.6088,3.0334
230.70,-9.5997,2.8358
230.80,-9.5907,2.6449
230.90,-9.5818,2.4633
231.00,-9.5731,2.2936
231.10,-9.5645,2.1383
231.20,-9.5560,2.0000
231.30,-9.5477,1.8813
231.40,-9.5395,1.7836
231.50,-9.5314,1.7079
231.60,-9.5235,1.6551
231.70,-9.5156,1.6261
231.80,-9.5077,1.6221
231.90,-9.5000,1.6434
232.00,-9.4923,1.6893
232.10,-9.4846,1.7586
232.20,-9.4769,1.8501
232.30,-9.4693,1.9627
232.40,-9.4616,2.0950
232.50,-9.4538,2.2455
232.60,-9.4460,2.4114
232.70,-9.4382,2.5900
232.80,-9.4303,2.7785
232.90,-9.4222,2.9742
233.00,-9.4141,3.1744
233.10,-9.4058,3.3761
233.20,-9.3974,3.5765
233.30,-9.3889,3.7726
233.40,-9.3802,3.9613
233.50,-9.3714,4.1398
233.60,-9.3624,4.3053
233.70,-9.3533,4.4556
233.80,-9.3441,4.5890
233.90,-9.3347,4.7036
234.00,-9.3252,4.7976
234.10,-9.3156,4.8693
234.20,-9.3059,4.9172
234.30,-9.2961,4.9414
234.40,-9.2862,4.9418
234.50,-9.2762,4.9187
234.60,-9.2662,4.8720
234.70,-9.2562,4.8019
234.80,-9.2461,4.7094
234.90,-9.2361,4.5963
235.00,-9.2260,4.4645
235.10,-9.2161,4.3160
235.20,-9.2062,4.1526
235.30,-9.1963,3.9763
235.40,-9.1866,3.7898
235.50,-9.1769,3.5959
235.60,-9.1674,3.3976
235.70,-9.1580,3.1978
235.80,-9.1487,2.9995
235.90,-9.1396,2.8054
236.00,-9.1306,2.6183
236.10,-9.1218,2.4407
236.20,-9.1131,2.2755
236.30,-9.1045,2.1251
236.40,-9.0961,1.9922
236.50,-9.0878,1.8789
236.60,-9.0796,1.7862
236.70,-9.0715,1.7154
236.80,-9.0636,1.6675
236.90,-9.0557,1.6437
237.00,-9.0479,1.6449
237.10,-9.0401,1.6708
237.20,-9.0324,1.7206
237.30,-9.0247,1.7932
237.40,-9.0170,1.8876
237.50,-9.0093,2.0028
237.60,-9.0016,2.1376
237.70,-8.9939,2.2896
237.80,-8.9860,2.4561
237.90,-8.9782,2.6346
238.00,-8.9702,2.8225
238.10,-8.9621,3.0170
238.20,-8.9540,3.2155
238.30,-8.9457,3.4150
238.40,-8.9372,3.6125
238.50,-8.9287,3.8052
238.60,-8.9200,3.9900
238.70,-8.9111,4.1639
238.80,-8.9021,4.3247
238.90,-8.8930,4.4703
239.00,-8.8838,4.5989
239.10,-8.8744,4.7084
239.20,-8.8648,4.7971
239.30,-8.8552,4.8630
239.40,-8.8455,4.9058
239.50,-8.8356,4.9253
239.60,-8.8257,4.9214
239.70,-8.8158,4.8940
239.80,-8.8058,4.8432
239.90,-8.7958,4.7691
240.00,-8.7857,4.6735
240.10,-8.7757,4.5581
240.20,-8.7657,4.4246
240.30,-8.7558,4.2747
240.40,-8.7459,4.1104
240.50,-8.7361,3.9338
240.60,-8.7264,3.7477
240.70,-8.7167,3.5550
240.80,-8.7072,3.3585
240.90,-8.6979,3.1612
241.00,-8.6886,2.9657
241.10,-8.6795,2.7750
241.20,-8.6706,2.5915
241.30,-8.6618,2.4181
241.40,-8.6531,2.2574
241.50,-8.6445,2.1122
241.60,-8.6361,1.9847
241.70,-8.6279,1.8766
241.80,-8.6197,1.7890
241.90,-8.6116,1.7231
242.00,-8.6037,1.6804
242.10,-8.5958,1.6619
242.20,-8.5880,1.6682
242.30,-8.5802,1.6985
242.40,-8.5725,1.7520
242.50,-8.5648,1.8278
242.60,-8.5571,1.9252
242.70,-8.5494,2.0433
242.80,-8.5416,2.1802
242.90,-8.5339,2.3334
243.00,-8.5260,2.5005
243.10,-8.5181,2.6788
243.20,-8.5101,2.8659
243.30,-8.5020,3.0593
243.40,-8.4938,3.2560
243.50,-8.4855,3.4531
243.60,-8.4770,3.6477
243.70,-8.4685,3.8368
243.80,-8.4597,4.0174
243.90,-8.4509,4.1868
244.00,-8.4418,4.3431
244.10,-8.4327,4.4841
244.20,-8.4234,4.6077
244.30,-8.4140,4.7121
244.40,-8.4045,4.7951
244.50,-8.3948,4.8557
244.60,-8.3851,4.8936
244.70,-8.3752,4.9085
244.80,-8.3653,4.9003
244.90,-8.3554,4.8686
245.00,-8.3454,4.8134
245.10,-8.3354,4.7358
245.20,-8.3254,4.6374
245.30,-8.3154,4.5199
245.40,-8.3054,4.3847
245.50,-8.2955,4.2336
245.60,-8.2856,4.0683
245.70,-8.2758,3.8916
245.80,-8.2661,3.7062
245.90,-8.2565,3.5148
246.00,-8.2471,3.3203
246.10,-8.2377,3.1254
246.20,-8.2285,2.9329
246.30,-8.2195,2.7454
246.40,-8.2105,2.5658
246.50,-8.2017,2.3966
246.60,-8.1931,2.2407
246.70,-8.1846,2.1007
246.80,-8.1762,1.9784
246.90,-8.1679,1.8752
247.00,-8.1598,1.7925
247.10,-8.1517,1.7318
247.20,-8.1438,1.6943
247.30,-8.1359,1.6812
247.40,-8.1281,1.6922
247.50,-8.1203,1.7265
247.60,-8.1126,1.7835
247.70,-8.1049,1.8627
247.80,-8.0972,1.9633
247.90,-8.0894,2.0841
248.00,-8.0817,2.2228
248.10,-8.0739,2.3770
248.20,-8.0660,2.5443
248.30,-8.0581,2.7224
248.40,-8.0501,2.9088
248.50,-8.0419,3.1009
248.60,-8.0337,3.2958
248.70,-8.0253,3.4904
248.80,-8.0169,3.6818
248.90,-8.0082,3.8671
249.00,-7.9995,4.0436
249.10,-7.9906,4.2087
249.20,-7.9816,4.3605
249.30,-7.9724,4.4968
249.40,-7.9631,4.6155
249.50,-7.9536,4.7144
249.60,-7.9441,4.7919
249.70,-7.9344,4.8475
249.80,-7.9247,4.8807
249.90,-7.9149,4.8912
250.00,-7.9050,4.8785
250.10,-7.8950,4.8423
250.20,-7.8850,4.7831
250.30,-7.8750,4.7023
250.40,-7.8650,4.6013
250.50,-7.8550,4.4817
250.60,-7.8451,4.3449
250.70,-7.8352,4.1923
250.80,-7.8253,4.0264
250.90,-7.8156,3.8498
251.00,-7.8059,3.6653
251.10,-7.7964,3.4754
251.20,-7.7869,3.2829
251.30,-7.7776,3.0905
251.40,-7.7685,2.9009
251.50,-7.7594,2.7168
251.60,-7.7505,2.5410
251.70,-7.7417,2.3762
251.80,-7.7331,2.2253
251.90,-7.7246,2.0903
252.00,-7.7163,1.9729
252.10,-7.7080,1.8746
252.20,-7.6999,1.7969
252.30,-7.6918,1.7414
252.40,-7.6839,1.7095
252.50,-7.6760,1.7014
252.60,-7.6682,1.7166
252.70,-7.6604,1.7548
252.80,-7.6527,1.8154
252.90,-7.6450,1.8980
253.00,-7.6372,2.0018
253.10,-7.6295,2.1250
253.20,-7.6217,2.2651
253.30,-7.6139,2.4201
253.40,-7.6060,2.5877
253.50,-7.5981,2.7655
253.60,-7.5900,2.9513
253.70,-7.5818,3.1420
253.80,-7.5736,3.3348
253.90,-7.5652,3.5267
254.00,-7.5567,3.7149
254.10,-7.5480,3.8964
254.20,-7.5392,4.0687
254.30,-7.5303,4.2297
254.40,-7.5213,4.3770
254.50,-7.5121,4.5085
254.60,-7.5027,4.6220
254.70,-7.4933,4.7154
254.80,-7.4837,4.7877
254.90,-7.4741,4.8385
255.00,-7.4643,4.8672
255.10,-7.4545,4.8731
255.20,-7.4446,4.8558
255.30,-7.4346,4.8152
255.40,-7.4246,4.7523
255.50,-7.4147,4.6686
255.60,-7.4047,4.5652
255.70,-7.3947,4.4435
255.80,-7.3848,4.3049
255.90,-7.3749,4.1511
256.00,-7.3651,3.9848
256.10,-7.3554,3.8086
256.20,-7.3457,3.6250
256.30,-7.3362,3.4367
256.40,-7.3268,3.2462
256.50,-7.3175,3.0563
256.60,-7.3084,2.8696
256.70,-7.2994,2.6891
256.80,-7.2905,2.5173
256.90,-7.2818,2.3571
257.00,-7.2731,2.2110
257.10,-7.2647,2.0809
257.20,-7.2563,1.9683
257.30,-7.2481,1.8749
257.40,-7.2400,1.8023
257.50,-7.2319,1.7523
257.60,-7.2240,1.7256
257.70,-7.2161,1.7221
257.80,-7.2083,1.7414
257.90,-7.2005,1.7834
258.00,-7.1928,1.8476
258.10,-7.1851,1.9338
258.20,-7.1773,2.0404
258.30,-7.1696,2.1656
258.40,-7.1618,2.3070
258.50,-7.1539,2.4626
258.60,-7.1460,2.6304
258.70,-7.1380,2.8081
258.80,-7.1299,2.9930
258.90,-7.1218,3.1821
259.00,-7.1135,3.3727
259.10,-7.1051,3.5618
259.20,-7.0965,3.7467
259.30,-7.0878,3.9244
259.40,-7.0790,4.0929
259.50,-7.0701,4.2496
259.60,-7.0610,4.3925
259.70,-7.0518,4.5191
259.80,-7.0424,4.6273
259.90,-7.0330,4.7155
260.00,-7.0234,4.7830
260.10,-7.0137,4.8292
260.20,-7.0039,4.8533
260.30,-6.9941,4.8546
260.40,-6.9842,4.8326
260.50,-6.9743,4.7880
260.60,-6.9643,4.7218
260.70,-6.9543,4.6353
260.80,-6.9443,4.5296
260.90,-6.9344,4.4058
261.00,-6.9245,4.2655
261.10,-6.9146,4.1109
261.20,-6.9048,3.9445
261.30,-6.8951,3.7689
261.40,-6.8855,3.5865
261.50,-6.8761,3.3997
261.60,-6.8667,3.2112
261.70,-6.8574,3.0238
261.80,-6.8483,2.8401
261.90,-6.8393,2.6630
262.00,-6.8305,2.4952
262.10,-6.8218,2.3393
262.20,-6.8132,2.1977
262.30,-6.8047,2.0719
262.40,-6.7964,1.9637
262.50,-6.7882,1.8749
262.60,-6.7801,1.8072
262.70,-6.7720,1.7621
262.80,-6.7641,1.7399
262.90,-6.7562,1.7404
263.00,-6.7484,1.7634
263.10,-6.7406,1.8088
263.20,-6.7329,1.8764
263.30,-6.7251,1.9656
263.40,-6.7174,2.0746
263.50,-6.7096,2.2014
263.60,-6.7018,2.3439
263.70,-6.6939,2.5002
263.80,-6.6860,2.6683
263.90,-6.6780,2.8458
264.00,-6.6699,3.0298
264.10,-6.6617,3.2176
264.20,-6.6534,3.4063
264.30,-6.6449,3.5931
264.40,-6.6363,3.7751
264.50,-6.6276,3.9499
264.60,-6.6188,4.1151
264.70,-6.6098,4.2683
264.80,-6.6007,4.4074
264.90,-6.5915,4.5298
265.00,-6.5821,4.6337
265.10,-6.5727,4.7178
265.20,-6.5631,4.7813
265.30,-6.5534,4.8236
265.40,-6.5436,4.8438
265.50,-6.5338,4.8412
265.60,-6.5239,4.8155
265.70,-6.5139,4.7676
265.80,-6.5040,4.6986
265.90,-6.4940,4.6096
266.00,-6.4840,4.5017
266.10,-6.4741,4.3760
266.20,-6.4642,4.2342
266.30,-6.4544,4.0787
266.40,-6.4446,3.9119
266.50,-6.4349,3.7364
266.60,-6.4254,3.5544
266.70,-6.4159,3.3685
266.80,-6.4065,3.1813
266.90,-6.3973,2.9955
267.00,-6.3882,2.8139
267.10,-6.3793,2.6392
267.20,-6.3704,2.4742
267.30,-6.3617,2.3215
267.40,-6.3532,2.1831
267.50,-6.3447,2.0606
267.60,-6.3364,1.9560
267.70,-6.3282,1.8708
267.80,-6.3201,1.8069
267.90,-6.3121,1.7655
268.00,-6.3042,1.7468
268.10,-6.2963,1.7507
268.20,-6.2885,1.7769
268.30,-6.2807,1.8253
268.40,-6.2729,1.8958
268.50,-6.2652,1.9875
268.60,-6.2574,2.0987
268.70,-6.2496,2.2272
268.80,-6.2418,2.3711
268.90,-6.2339,2.5284
269.00,-6.2260,2.6972
269.10,-6.2180,2.8749
269.20,-6.2098,3.0588
269.30,-6.2016,3.2461
269.40,-6.1933,3.4339
269.50,-6.1848,3.6194
269.60,-6.1762,3.7998
269.70,-6.1675,3.9726
269.80,-6.1587,4.1356
269.90,-6.1497,4.2865
270.00,-6.1405,4.4229
270.10,-6.1313,4.5426
270.20,-6.1219,4.6436
270.30,-6.1124,4.7246
270.40,-6.1028,4.7851
270.50,-6.0931,4.8244
270.60,-6.0834,4.8415
270.70,-6.0735,4.8360
270.80,-6.0636,4.8074
270.90,-6.0537,4.7568
271.00,-6.0437,4.6853
271.10,-6.0337,4.5939
271.20,-6.0238,4.4839
271.30,-6.0139,4.3563
271.40,-6.0040,4.2128
271.50,-5.9942,4.0558
271.60,-5.9844,3.8879
271.70,-5.9747,3.7115
271.80,-5.9652,3.5290
271.90,-5.9557,3.3430
272.00,-5.9464,3.1560
272.10,-5.9372,2.9709
272.20,-5.9281,2.7902
272.30,-5.9192,2.6168
272.40,-5.9103,2.4534
272.50,-5.9017,2.3026
272.60,-5.8931,2.1664
272.70,-5.8847,2.0464
272.80,-5.8764,1.9444
272.90,-5.8682,1.8620
273.00,-5.8601,1.8009
273.10,-5.8521,1.7624
273.20,-5.8442,1.7467
273.30,-5.8363,1.7536
273.40,-5.8285,1.7827
273.50,-5.8207,1.8340
273.60,-5.8130,1.9070
273.70,-5.8052,2.0012
273.80,-5.7975,2.1146
273.90,-5.7897,2.2452
274.00,-5.7819,2.3909
274.10,-5.7740,2.5497
274.20,-5.7660,2.7196
274.30,-5.7580,2.8981
274.40,-5.7498,3.0825
274.50,-5.7416,3.2700
274.60,-5.7332,3.4577
274.70,-5.7248,3.6428
274.80,-5.7162,3.8224
274.90,-5.7074,3.9942
275.00,-5.6986,4.1558
275.10,-5.6895,4.3050
275.20,-5.6804,4.4396
275.30,-5.6711,4.5573
275.40,-5.6618,4.6561
275.50,-5.6523,4.7347
275.60,-5.6426,4.7926
275.70,-5.6329,4.8292
275.80,-5.6232,4.8437
275.90,-5.6133,4.8356
276.00,-5.6034,4.8046
276.10,-5.5934,4.7513
276.20,-5.5835,4.6772
276.30,-5.5735,4.5834
276.40,-5.5636,4.4711
276.50,-5.5536,4.3415
276.60,-5.5438,4.1963
276.70,-5.5339,4.0377
276.80,-5.5242,3.8683
276.90,-5.5145,3.6907
277.00,-5.5050,3.5074
277.10,-5.4956,3.3208
277.20,-5.4862,3.1337
277.30,-5.4770,2.9486
277.40,-5.4680,2.7684
277.50,-5.4590,2.5956
277.60,-5.4502,2.4330
277.70,-5.4416,2.2833
277.80,-5.4331,2.1485
277.90,-5.4247,2.0304
278.00,-5.4164,1.9304
278.10,-5.4082,1.8502
278.20,-5.4001,1.7912
278.30,-5.3921,1.7551
278.40,-5.3842,1.7420
